"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"ZMYM2","OK",1.93206939785909e-37,12.7332498783453,0.0457424285187669,"ZMYM2",4.88025139145128e-37
"GJA3","OK",0.00731258599284241,2.44153002833517,0.00816907721613927,"GJA3",0.00991874451123767
"GJB2","OK",0,154.145754153571,0.554582601220185,"GJB2",0
"GJB6","OK",0.0661912120480962,1.50477309142196,0.00507509468947064,"GJB6",0.0845467941598326
"CRYL1","OK",2.85350446720929e-31,11.572097620597,0.0415347198621558,"CRYL1",6.79721599937403e-31
"IFT88","OK",4.30151350385424e-11,6.48966005166802,0.0232318199932002,"IFT88",7.5789848278187e-11
"IL17D","OK",7.25026305206969e-09,5.66737086725983,0.0200004376601002,"IL17D",1.21305779735364e-08
"EEF1AKMT1","OK",2.21078188966512e-20,9.17727054009607,0.0329097512526848,"EEF1AKMT1",4.58207418787271e-20
"XPO4","OK",0.150333282673756,1.03500502313436,0.00361100637576241,"XPO4",0.186846976888541
"LATS2","OK",8.48357757320951e-181,28.6480202438429,0.102896578525603,"LATS2",4.2510287520467e-180
"SAP18","OK",0,38.9981018925523,0.140346088560097,"SAP18",0
"SKA3","OK",0,48.9451985092405,0.175558202467132,"SKA3",0
"MRPL57","OK",8.81618346873245e-105,21.7069649128416,0.0780690111955605,"MRPL57",3.36115932861696e-104
"LINC00539","OK",4.10330382482996e-07,4.93038890444946,0.0175865549810609,"LINC00539",6.52432563628123e-07
"ZDHHC20","OK",6.91184119097464e-24,10.009652800305,0.0359278769855647,"ZDHHC20",1.50260389319837e-23
"MICU2","OK",4.26516118456838e-12,6.82934497059842,0.0244779437187176,"MICU2",7.69167581716649e-12
"FGF9","OK",1.28035845363978e-20,9.23592172114052,0.0328085941214885,"FGF9",2.66176243047034e-20
"LINC00540","OK",0.324840051997528,0.454206640471925,0.00150576245577665,"LINC00540",0.392015540088275
"LINC00621","OK",0.542414694374438,-0.106518962308929,-0.000417078345781147,"LINC00621",0.594145667571509
"AL157931.2","FAIL",NA,NA,NA,"AL157931.2",1
"SGCG","OK",0.596112013079815,-0.243296166553084,-0.000885029316721109,"SGCG",0.619797338243442
"SACS","OK",7.8903784210284e-09,5.65285157820121,0.0202294710742285,"SACS",1.31926433657205e-08
"LINC00327","OK",3.47690945157677e-10,6.16713544982487,0.0212262227429382,"LINC00327",6.00049722415975e-10
"TNFRSF19","OK",0,62.4752882483994,0.224217023031785,"TNFRSF19",0
"MIPEP","OK",0.0024364407893269,2.81531914379666,0.00999912432872429,"MIPEP",0.00338531451996447
"PCOTH","OK",3.72086354023975e-07,4.94946627492766,0.0172479835218084,"PCOTH",5.92147400985946e-07
"C1QTNF9B","FAIL",NA,NA,NA,"C1QTNF9B",1
"AL359736.1","OK",6.50823666648653e-12,6.76845514061189,0.0232911249225495,"AL359736.1",1.16867065419899e-11
"SPATA13","OK",1.42898783679113e-189,29.3439068541889,0.105553891484814,"SPATA13",7.35231895324809e-189
"SPATA13.1","OK",0.555116610500646,-0.1385993221346,-0.000503758545289451,"SPATA13.1",0.596711146101679
"C1QTNF9","OK",NA,NA,-0.000119238508629809,"C1QTNF9",NA
"PARP4","OK",3.05754181346239e-33,11.954976549234,0.0429364243762683,"PARP4",7.42722859721591e-33
"ATP12A","OK",NA,NA,-9.66303890807328e-05,"ATP12A",NA
"RNF17","OK",0.555785172185853,-0.140291530753893,-0.000570035534050991,"RNF17",0.5967215072605
"CENPJ","OK",3.45676383621084e-97,20.887797322911,0.0750098629597536,"CENPJ",1.27015525579047e-96
"PABPC3","OK",0.583065145237119,-0.209741146435981,-0.000797137165034675,"PABPC3",0.610671678843531
"AMER2","OK",0.613772422715453,-0.289164947257622,-0.00106911695166082,"AMER2",0.633134833589519
