	log2FoldChange	fdr
NDUFA13	-0.635217271500852	1
ZFP36L1	-0.634652062858603	1
RPS13	-0.634598221913628	1
NDUFB1	-0.630878335776513	1
COPZ1	-0.630878335776513	1
IER3IP1	-0.630878335776513	1
ZCCHC2	-0.630878335776513	1
TMEM173	-0.630878335776513	1
SRSF8	-0.630878335776513	1
OFD1	-0.630878335776513	1
EIF5	-0.626526311236807	1
PCNP	-0.62507271409531	1
SUB1	-0.625072714095308	1
JOSD2	-0.622161118675405	1
RGS19	-0.622161118675405	1
MRPS5	-0.622161118675405	1
TSG101	-0.622161118675405	1
CSNK1G2	-0.622161118675405	1
NUDT21	-0.622161118675405	1
RAP1B	-0.619973559437641	1
UBE2B	-0.617782678164832	1
DHX36	-0.617782678164832	1
PSMD8	-0.615902128203723	1
CIRBP	-0.615902128203723	1
CD27	-0.615149221320033	1
PTBP3	-0.613390909047673	1
CNBP	-0.613390909047673	1
MDH1	-0.613390909047673	1
THYN1	-0.613390909047673	1
MFF	-0.613390909047673	1
HTATSF1	-0.613390909047673	1
NBN	-0.613390909047673	1
ZNF791	-0.613390909047673	1
DCTN3	-0.608985729927672	1
FKBP1A	-0.604567058660667	1
PPIE	-0.604567058660667	1
PARP8	-0.604567058660667	1
RAB11B	-0.604567058660667	1
RBM38	-0.604567058660667	1
PPP2R5E	-0.604567058660667	1
ANXA5	-0.603302091424089	1
RABAC1	-0.603302091424089	1
CTSW	-0.602795793808476	1
IER5	-0.60161374127132	1
SEMA4D	-0.599246726727403	1
CSF1	-0.598654365790775	1
GIMAP4	-0.598231101876668	1
H1FX	-0.597666556754657	1
FGFR1OP2	-0.595688907314215	1
VTI1B	-0.595688907314215	1
ARHGDIB	-0.592946140250676	1
PPIG	-0.592122292294023	1
NCL	-0.591229259123514	1
MGEA5	-0.591229259123514	1
MZT2A	-0.589739640983029	1
NDUFA5	-0.589739640983029	1
CASP1	-0.588546838070194	1
SH3KBP1	-0.588546838070194	1
ARFGAP2	-0.586755782544207	1
TBX21	-0.586755782544207	1
HDLBP	-0.586755782544207	1
SAFB	-0.586755782544207	1
ZNF148	-0.586755782544207	1
CMTM3	-0.586755782544207	1
TSPAN5	-0.586755782544207	1
CNOT1	-0.586755782544207	1
MSN	-0.584962500721155	1
ODF2L	-0.582268391551893	1
ANP32A	-0.577766999316952	1
ANKRD10	-0.577766999316952	1
COPS5	-0.577766999316952	1
PFDN6	-0.577766999316952	1
ME2	-0.577766999316952	1
ICAM3	-0.574758249444613	1
DGUOK	-0.573251518194459	1
HLA-DQB1	-0.572346723532699	1
UBE2L3	-0.571743211689182	1
PCID2	-0.568721859713946	1
MAT2A	-0.568721859713946	1
TPP1	-0.568721859713946	1
ARF4	-0.568721859713946	1
KARS	-0.568721859713946	1
TBK1	-0.568721859713946	1
COPB2	-0.568721859713946	1
NUB1	-0.564177934568997	1
SERF2	-0.563393050679942	1
GABPB1	-0.559619652606692	1
TGFBR2	-0.559619652606692	1
ROMO1	-0.559619652606692	1
RWDD1	-0.559619652606692	1
EIF5A	-0.559619652606692	1
TMED9	-0.559619652606692	1
MMADHC	-0.559619652606692	1
PPP2R1A	-0.559619652606692	1
NECAP1	-0.559619652606692	1
PTPRJ	-0.559619652606692	1
PHF11	-0.555962628998604	1
ACTR2	-0.551771790784008	1
CD53	-0.551480307796677	1
IFIT2	-0.550459653321216	1
PHIP	-0.550459653321216	1
TMC6	-0.550459653321216	1
NAA20	-0.550459653321216	1
KAT6A	-0.550459653321216	1
NENF	-0.550459653321216	1
SNRNP40	-0.550459653321216	1
PSENEN	-0.550459653321216	1
TIMM13	-0.550459653321216	1
OAS2	-0.548620653657436	1
DECR1	-0.547393350273434	1
PTTG1	-0.544935606849579	1
SRRM1	-0.54432051622381	1
SPRY1	-0.541241123291838	1
TAF15	-0.541241123291838	1
POLR2C	-0.541241123291838	1
TSPYL1	-0.541241123291838	1
MRPS26	-0.541241123291838	1
SPAG9	-0.541241123291838	1
CD3D	-0.535790814426078	1
SSBP1	-0.535062548362714	1
CASP4	-0.535062548362714	1
RGS1	-0.534005020142554	1
PUF60	-0.531963309703826	1
UPF3A	-0.531963309703826	1
KMT2C	-0.531963309703826	1
SFMBT2	-0.531963309703826	1
NTMT1	-0.531963309703826	1
GALM	-0.530100565686639	1
ECHS1	-0.528857398836006	1
ENSA	-0.528857398836006	1
HSPA8	-0.527027264072137	1
SRP14	-0.522625445124491	1
CWC15	-0.522625445124491	1
PSMD13	-0.522625445124491	1
TMEM160	-0.522625445124491	1
SGMS1	-0.522625445124491	1
NSRP1	-0.522625445124491	1
GLG1	-0.522625445124491	1
TMEM170A	-0.522625445124491	1
CENPX	-0.522625445124491	1
CTSC	-0.521375817466555	1
TAPBP	-0.519946344928611	1
TNFRSF9	-0.519499344137771	1
GSTO1	-0.518873310263383	1
SDF2L1	-0.517933749799769	1
RSL24D1	-0.517933749799769	1
APOBEC3G	-0.517686395312941	1
RSBN1	-0.513226747122241	1
